Isabel,641,2485606
Unna,639,2486245
Sofie,638,2486883
Mirkka,638,2487521
Lilia,637,2488158
Ava,636,2488794
Alice,634,2489428
Anastasia,634,2490062
Annette,624,2490686
Selina,622,2491308
Minni,621,2491929
Britta,620,2492549
Matleena,616,2493165
Ilmi,610,2493775
Inari,609,2494384
Ina,605,2494989
Sarita,605,2495594
Ann,605,2496199
Yvonne,605,2496804
Tove,603,2497407
Jennifer,599,2498006
Amalia,596,2498602
Sylvia,594,2499196
Elna,587,2499783
Pirjo-Riitta,586,2500369
Amelia,586,2500955
Regina,582,2501537
Ilse,574,2502111
Sabina,574,2502685
Viena,572,2503257
Saini,569,2503826
Raakel,568,2504394
Maj-Lis,568,2504962
Hanna-Maria,565,2505527
Elviira,563,2506090
Martina,562,2506652
Marju,562,2507214
Kaino,561,2507775
Ines,543,2508318
Impi,543,2508861
Maya,542,2509403
Siri,541,2509944
Jasmiina,540,2510484
Elisabeth,539,2511023
Patricia,539,2511562
Milena,538,2512100
Christa,536,2512636
Christel,530,2513166
Carolina,529,2513695
Henna-Riikka,529,2514224
Ulrika,528,2514752
Tara,527,2515279
Ritva-Liisa,519,2515798
Hellevi,518,2516316
Galina,517,2516833
Anne-Maarit,513,2517346
Eivor,513,2517859
Helen,513,2518372
Sinna,512,2518884
Kielo,511,2519395
Valentina,510,2519905
Tatjana,510,2520415
Bea,509,2520924
Ida-Maria,509,2521433
Pirjo-Liisa,507,2521940
Selja,506,2522446
Emily,503,2522949
Ria,503,2523452
Signe,502,2523954
Livia,499,2524453
Lisbeth,499,2524952
Eve,493,2525445
Hillevi,492,2525937
Natalie,492,2526429
Jessika,487,2526916
Veronica,485,2527401
Linn,485,2527886
Siina,484,2528370
Eija-Liisa,480,2528850
Sirja,476,2529326
Sanna-Kaisa,475,2529801
Elisabet,475,2530276
Lydia,471,2530747
Noomi,470,2531217
Felicia,466,2531683
Eeva-Maria,465,2532148
Lara,463,2532611
Agneta,460,2533071
Evelina,453,2533524
Claudia,451,2533975
Tua,450,2534425
Eeva-Maija,450,2534875
Charlotte,449,2535324
Maaria,449,2535773
Lily,448,2536221
Alissa,444,2536665
Esteri,442,2537107
Elvira,442,2537549
Meiju,441,2537990
Sanna-Maria,439,2538429
Sani,439,2538868
Sofi,438,2539306
Soila,437,2539743
Silva,434,2540177
Anna-Sofia,434,2540611
Vilhelmiina,433,2541044
Lili,429,2541473
Ellinoora,426,2541899
Josefina,423,2542322
Tamara,421,2542743
Mary,419,2543162
Nicole,417,2543579
Michelle,417,2543996
Märta,415,2544411
Helmiina,413,2544824
Agnes,412,2545236
Iida-Maria,412,2545648
Loviisa,409,2546057
Miranda,409,2546466
Nuppu,406,2546872
Julianna,404,2547276
Stiina,404,2547680
Anne-Maj,402,2548082
Teea,400,2548482
Jane,400,2548882
Assi,399,2549281
Melinda,399,2549680
Christine,398,2550078
Lumia,398,2550476
Silvia,396,2550872
Nathalie,394,2551266
Michaela,393,2551659
Hannamari,391,2552050
Ulpu,389,2552439
Jelena,387,2552826
Rakel,385,2553211
Sarianna,385,2553596
Hellä,384,2553980
Maili,383,2554363
Emelie,382,2554745
Liinu,382,2555127
Nana,381,2555508
Fiia,380,2555888
Heleena,380,2556268
Roosa-Maria,377,2556645
Bettina,377,2557022
Jeanette,376,2557398
Maj,373,2557771
Gun-Britt,373,2558144
Caroline,372,2558516
Elea,372,2558888
Annemari,371,2559259
Jannika,369,2559628
Karla,368,2559996
Hanna-Maija,368,2560364
Briitta,362,2560726
Larissa,362,2561088
Aliina,361,2561449
Hellin,360,2561809
Moa,358,2562167
Leena-Maija,356,2562523
Madeleine,356,2562879
Aina,356,2563235
Amina,355,2563590
Linnéa,354,2563944
Sophie,353,2564297
Tiia-Maria,353,2564650
Veronika,352,2565002
Pamela,350,2565352
Kirsi-Maria,349,2565701
Karolina,349,2566050
Ann-Marie,349,2566399
Svea,349,2566748
Clara,346,2567094
Minna-Liisa,345,2567439
Nenna,344,2567783
Amelie,343,2568126
Mandi,342,2568468
Alicia,342,2568810
Jasmina,340,2569150
Eedit,338,2569488
